"","DATE","Tier","HPI"
"1",1993-01-01,"High",64.99
"2",1993-02-01,"High",65.05
"3",1993-03-01,"High",65.27
"4",1993-04-01,"High",65.2
"5",1993-05-01,"High",65.34
"6",1993-06-01,"High",65.59
"7",1993-07-01,"High",66.09
"8",1993-08-01,"High",66.32
"9",1993-09-01,"High",66.48
"10",1993-10-01,"High",66.38
"11",1993-11-01,"High",67
"12",1993-12-01,"High",67.49
"13",1994-01-01,"High",67.97
"14",1994-02-01,"High",68.17
"15",1994-03-01,"High",68.57
"16",1994-04-01,"High",69.2
"17",1994-05-01,"High",69.11
"18",1994-06-01,"High",69.38
"19",1994-07-01,"High",69.33
"20",1994-08-01,"High",69.44
"21",1994-09-01,"High",69.84
"22",1994-10-01,"High",70.13
"23",1994-11-01,"High",70.69
"24",1994-12-01,"High",70.6
"25",1995-01-01,"High",70.82
"26",1995-02-01,"High",71.04
"27",1995-03-01,"High",71.24
"28",1995-04-01,"High",70.76
"29",1995-05-01,"High",70.93
"30",1995-06-01,"High",71.19
"31",1995-07-01,"High",71.52
"32",1995-08-01,"High",71.74
"33",1995-09-01,"High",71.78
"34",1995-10-01,"High",71.71
"35",1995-11-01,"High",71.76
"36",1995-12-01,"High",71.73
"37",1996-01-01,"High",72.24
"38",1996-02-01,"High",72.6
"39",1996-03-01,"High",73.26
"40",1996-04-01,"High",73.3
"41",1996-05-01,"High",73.3
"42",1996-06-01,"High",73.66
"43",1996-07-01,"High",73.96
"44",1996-08-01,"High",74.63
"45",1996-09-01,"High",74.66
"46",1996-10-01,"High",75.09
"47",1996-11-01,"High",75.3
"48",1996-12-01,"High",75.94
"49",1997-01-01,"High",76.25
"50",1997-02-01,"High",76.49
"51",1997-03-01,"High",77.26
"52",1997-04-01,"High",77.77
"53",1997-05-01,"High",78.05
"54",1997-06-01,"High",78.24
"55",1997-07-01,"High",78.61
"56",1997-08-01,"High",79.01
"57",1997-09-01,"High",79.44
"58",1997-10-01,"High",80.01
"59",1997-11-01,"High",80.67
"60",1997-12-01,"High",81.35
"61",1998-01-01,"High",81.78
